subj,re,stim,cond,block,contrast,correct,incorrect,dprime
ONOFF01,6.5,letter,OFF,2,-0.06812920690579616,24,1,3.1556204276860185
ONOFF01,6.5,letter,OFF,2,-0.046415888336127774,22,3,2.6719533644207707
ONOFF01,6.5,letter,OFF,2,-0.03162277660168379,18,7,2.061441347078407
ONOFF01,6.5,letter,OFF,2,-0.021544346900318832,10,15,1.1346606589459003
ONOFF01,6.5,letter,OFF,2,-0.014677992676220698,4,21,0.2987077740959031
ONOFF01,6.5,letter,OFF,2,-0.01,7,18,0.7634256984778596
ONOFF01,6.5,letter,OFF,2,-0.1,25,0,3.5676123887944677
ONOFF01,6.5,letter,OFF,2,-0.06812920690579616,21,4,2.493598350313187
ONOFF01,6.5,letter,OFF,2,-0.046415888336127774,23,2,2.883804325427549
ONOFF01,6.5,letter,OFF,2,-0.03162277660168379,17,8,1.936424759503359
ONOFF01,6.5,letter,OFF,2,-0.021544346900318832,7,18,0.7634256984778596
ONOFF01,6.5,letter,OFF,2,-0.014677992676220698,5,20,0.4713009513834069
ONOFF01,6.5,letter,OFF,2,-0.01,1,24,-0.554138543363544
ONOFF01,-6.5,letter,OFF,4,0.01,3,22,0.09490874524494339
ONOFF01,-6.5,letter,OFF,4,0.014677992676220698,1,24,-0.554138543363544
ONOFF01,-6.5,letter,OFF,4,0.021544346900318832,4,21,0.2987077740959031
ONOFF01,-6.5,letter,OFF,4,0.03162277660168379,12,13,1.3626909132113647
ONOFF01,-6.5,letter,OFF,4,0.046415888336127774,23,2,2.883804325427549
ONOFF01,-6.5,letter,OFF,4,0.06812920690579616,23,2,2.883804325427549
ONOFF01,-6.5,letter,OFF,4,0.1,22,3,2.6719533644207707
ONOFF01,-6.5,letter,OFF,4,0.01,4,21,0.2987077740959031
ONOFF01,-6.5,letter,OFF,4,0.014677992676220698,1,24,-0.554138543363544
ONOFF01,-6.5,letter,OFF,4,0.021544346900318832,5,20,0.4713009513834069
ONOFF01,-6.5,letter,OFF,4,0.03162277660168379,7,18,0.7634256984778596
ONOFF01,-6.5,letter,OFF,4,0.046415888336127774,22,3,2.6719533644207707
ONOFF01,-6.5,letter,OFF,4,0.06812920690579616,25,0,3.5676123887944677
ONOFF01,-6.5,letter,OFF,4,0.1,24,1,3.1556204276860185
ONOFF01,-6.5,letter,OFF,4,0.01,3,22,0.09490874524494339
ONOFF01,-6.5,letter,OFF,4,0.014677992676220698,2,23,-0.1646708895843417
ONOFF01,-6.5,letter,OFF,4,0.021544346900318832,3,22,0.09490874524494339
ONOFF01,-6.5,letter,OFF,4,0.03162277660168379,14,11,1.5871640379997778
ONOFF01,-6.5,letter,OFF,4,0.046415888336127774,22,3,2.6719533644207707
ONOFF01,-6.5,letter,OFF,4,0.06812920690579616,24,1,3.1556204276860185
ONOFF01,-6.5,letter,OFF,4,0.1,25,0,3.5676123887944677
ONOFF01,-6.5,letter,OFF,4,0.01,2,23,-0.1646708895843417
ONOFF01,-6.5,letter,OFF,4,0.014677992676220698,1,24,-0.554138543363544
ONOFF01,-6.5,letter,OFF,4,0.021544346900318832,5,20,0.4713009513834069
ONOFF01,-6.5,letter,OFF,4,0.03162277660168379,13,12,1.4748268342349498
ONOFF01,-6.5,letter,OFF,4,0.046415888336127774,17,8,1.936424759503359
ONOFF01,-6.5,letter,OFF,4,0.06812920690579616,25,0,3.5676123887944677
ONOFF01,-6.5,letter,OFF,4,0.1,24,1,3.1556204276860185
ONOFF01,-6.625,letter,ON,1,0.01,1,24,-0.554138543363544
ONOFF01,-6.625,letter,ON,1,0.014677992676220698,1,24,-0.554138543363544
ONOFF01,-6.625,letter,ON,1,0.021544346900318832,2,23,-0.1646708895843417
ONOFF01,-6.625,letter,ON,1,0.03162277660168379,5,20,0.4713009513834069
ONOFF01,-6.625,letter,ON,1,0.046415888336127774,18,7,2.061441347078407
ONOFF01,-6.625,letter,ON,1,0.06812920690579616,24,1,3.1556204276860185
ONOFF01,-6.625,letter,ON,1,0.1,24,1,3.1556204276860185
ONOFF01,-6.625,letter,ON,1,0.01,2,23,-0.1646708895843417
ONOFF01,-6.625,letter,ON,1,0.014677992676220698,1,24,-0.554138543363544
ONOFF01,-6.625,letter,ON,1,0.021544346900318832,3,22,0.09490874524494339
ONOFF01,-6.625,letter,ON,1,0.03162277660168379,5,20,0.4713009513834069
ONOFF01,-6.625,letter,ON,1,0.046415888336127774,20,5,2.3364935864128844
ONOFF01,-6.625,letter,ON,1,0.06812920690579616,22,3,2.6719533644207707
ONOFF01,-6.625,letter,ON,1,0.1,24,1,3.1556204276860185
ONOFF01,-0.25,letter,ON,1,0.01,2,23,-0.1646708895843417
ONOFF01,-0.25,letter,ON,1,0.014677992676220698,4,21,0.2987077740959031
ONOFF01,-0.25,letter,ON,1,0.021544346900318832,6,19,0.6240842464878451
ONOFF01,-0.25,letter,ON,1,0.03162277660168379,13,12,1.4748268342349498
ONOFF01,-0.25,letter,ON,1,0.046415888336127774,21,4,2.493598350313187
ONOFF01,-0.25,letter,ON,1,0.06812920690579616,24,1,3.1556204276860185
ONOFF01,-0.25,letter,ON,1,0.1,24,1,3.1556204276860185
ONOFF01,-6.5,letter,ON,1,0.01,1,24,-0.554138543363544
ONOFF01,-6.5,letter,ON,1,0.014677992676220698,3,22,0.09490874524494339
ONOFF01,-6.5,letter,ON,1,0.021544346900318832,4,21,0.2987077740959031
ONOFF01,-6.5,letter,ON,1,0.03162277660168379,9,16,1.016379015123243
ONOFF01,-6.5,letter,ON,1,0.046415888336127774,21,4,2.493598350313187
ONOFF01,-6.5,letter,ON,1,0.06812920690579616,22,3,2.6719533644207707
ONOFF01,-6.5,letter,ON,1,0.1,24,1,3.1556204276860185
ONOFF01,-6.5,letter,ON,3,-0.1,23,2,2.883804325427549
ONOFF01,-6.5,letter,ON,3,-0.06812920690579616,25,0,3.5676123887944677
ONOFF01,-6.5,letter,ON,3,-0.046415888336127774,20,5,2.3364935864128844
ONOFF01,-6.5,letter,ON,3,-0.03162277660168379,12,13,1.3626909132113647
ONOFF01,-6.5,letter,ON,3,-0.021544346900318832,9,16,1.016379015123243
ONOFF01,-6.5,letter,ON,3,-0.014677992676220698,1,24,-0.554138543363544
ONOFF01,-6.5,letter,ON,3,-0.01,3,22,0.09490874524494339
ONOFF01,-6.5,letter,ON,3,-0.1,25,0,3.5676123887944677
ONOFF01,-6.5,letter,ON,3,-0.06812920690579616,24,1,3.1556204276860185
ONOFF01,-6.5,letter,ON,3,-0.046415888336127774,23,2,2.883804325427549
ONOFF01,-6.5,letter,ON,3,-0.03162277660168379,16,9,1.8167231725921307
ONOFF01,-6.5,letter,ON,3,-0.021544346900318832,10,15,1.1346606589459003
ONOFF01,-6.5,letter,ON,3,-0.014677992676220698,3,22,0.09490874524494339
ONOFF01,-6.5,letter,ON,3,-0.01,4,21,0.2987077740959031
ONOFF01,-6.5,letter,ON,3,-0.1,25,0,3.5676123887944677
ONOFF01,-6.5,letter,ON,3,-0.06812920690579616,23,2,2.883804325427549
ONOFF01,-6.5,letter,ON,3,-0.046415888336127774,23,2,2.883804325427549
ONOFF01,-6.5,letter,ON,3,-0.03162277660168379,16,9,1.8167231725921307
ONOFF01,-6.5,letter,ON,3,-0.021544346900318832,10,15,1.1346606589459003
ONOFF01,-6.5,letter,ON,3,-0.014677992676220698,4,21,0.2987077740959031
ONOFF01,-6.5,letter,ON,3,-0.01,1,24,-0.554138543363544
ONOFF01,-6.5,letter,ON,3,-0.1,21,4,2.493598350313187
ONOFF01,-6.5,letter,ON,3,-0.06812920690579616,23,2,2.883804325427549
ONOFF01,-6.5,letter,ON,3,-0.046415888336127774,22,3,2.6719533644207707
ONOFF01,-6.5,letter,ON,3,-0.03162277660168379,15,10,1.7007385611565753
ONOFF01,-6.5,letter,ON,3,-0.021544346900318832,6,19,0.6240842464878451
ONOFF01,-6.5,letter,ON,3,-0.014677992676220698,6,19,0.6240842464878451
ONOFF01,-6.5,letter,ON,3,-0.01,1,24,-0.554138543363544
ONOFF02,-3.75,dog,OFF,1,-0.1,23,2,1.6947343494350846
ONOFF02,-3.75,dog,OFF,1,-0.06812920690579616,24,1,2.0167750097102912
ONOFF02,-3.75,dog,OFF,1,-0.046415888336127774,19,6,0.86994071643449
ONOFF02,-3.75,dog,OFF,1,-0.03162277660168379,16,9,0.41489293850243403
ONOFF02,-3.75,dog,OFF,1,-0.021544346900318832,11,14,-0.27439004973296216
ONOFF02,-3.75,dog,OFF,1,-0.014677992676220698,12,13,-0.1365829866590088
ONOFF02,-3.75,dog,OFF,1,-0.01,14,11,0.13658298765820454
ONOFF02,-3.75,dog,OFF,1,-0.1,25,0,2.5014984117164634
ONOFF02,-3.75,dog,OFF,1,-0.06812920690579616,21,4,1.2295505815588192
ONOFF02,-3.75,dog,OFF,1,-0.046415888336127774,20,5,1.041278337952849
ONOFF02,-3.75,dog,OFF,1,-0.03162277660168379,13,12,2.874038784739241e-10
ONOFF02,-3.75,dog,OFF,1,-0.021544346900318832,12,13,-0.1365829866590088
ONOFF02,-3.75,dog,OFF,1,-0.014677992676220698,14,11,0.13658298765820454
ONOFF02,-3.75,dog,OFF,1,-0.01,13,12,2.874038784739241e-10
ONOFF02,-3.75,dog,OFF,1,-0.1,25,0,2.5014984117164634
ONOFF02,-3.75,dog,OFF,1,-0.06812920690579616,25,0,2.5014984117164634
ONOFF02,-3.75,dog,OFF,1,-0.046415888336127774,19,6,0.86994071643449
ONOFF02,-3.75,dog,OFF,1,-0.03162277660168379,15,10,0.27439004975667836
ONOFF02,-3.75,dog,OFF,1,-0.021544346900318832,8,17,-0.7105095978551897
ONOFF02,-3.75,dog,OFF,1,-0.014677992676220698,13,12,2.874038784739241e-10
ONOFF02,-3.75,dog,OFF,1,-0.01,10,15,-0.4148929385136534
ONOFF02,-3.75,dog,OFF,1,-0.1,25,0,2.5014984117164634
ONOFF02,-3.75,dog,OFF,1,-0.06812920690579616,21,4,1.2295505815588192
ONOFF02,-3.75,dog,OFF,1,-0.046415888336127774,21,4,1.2295505815588192
ONOFF02,-3.75,dog,OFF,1,-0.03162277660168379,16,9,0.41489293850243403
ONOFF02,-3.75,dog,OFF,1,-0.021544346900318832,13,12,2.874038784739241e-10
ONOFF02,-3.75,dog,OFF,1,-0.014677992676220698,11,14,-0.27439004973296216
ONOFF02,-3.75,dog,OFF,1,-0.01,9,16,-0.5596404680147978
ONOFF02,-3.75,dog,OFF,3,-0.1,24,1,2.0167750097102912
ONOFF02,-3.75,dog,OFF,3,-0.06812920690579616,25,0,2.5014984117164634
ONOFF02,-3.75,dog,OFF,3,-0.046415888336127774,21,4,1.2295505815588192
ONOFF02,-3.75,dog,OFF,3,-0.03162277660168379,15,10,0.27439004975667836
ONOFF02,-3.75,dog,OFF,3,-0.021544346900318832,9,16,-0.5596404680147978
ONOFF02,-3.75,dog,OFF,3,-0.014677992676220698,13,12,2.874038784739241e-10
ONOFF02,-3.75,dog,OFF,3,-0.01,17,8,0.5596402658619224
ONOFF02,-3.75,dog,OFF,3,-0.1,24,1,2.0167750097102912
ONOFF02,-3.75,dog,OFF,3,-0.06812920690579616,23,2,1.6947343494350846
ONOFF02,-3.75,dog,OFF,3,-0.046415888336127774,22,3,1.4426110264458825
ONOFF02,-3.75,dog,OFF,3,-0.03162277660168379,15,10,0.27439004975667836
ONOFF02,-3.75,dog,OFF,3,-0.021544346900318832,15,10,0.27439004975667836
ONOFF02,-3.75,dog,OFF,3,-0.014677992676220698,16,9,0.41489293850243403
ONOFF02,-3.75,dog,OFF,3,-0.01,14,11,0.13658298765820454
ONOFF02,-3.75,dog,OFF,3,-0.1,22,3,1.4426110264458825
ONOFF02,-3.75,dog,OFF,3,-0.06812920690579616,24,1,2.0167750097102912
ONOFF02,-3.75,dog,OFF,3,-0.046415888336127774,20,5,1.041278337952849
ONOFF02,-3.75,dog,OFF,3,-0.03162277660168379,16,9,0.41489293850243403
ONOFF02,-3.75,dog,OFF,3,-0.021544346900318832,11,14,-0.27439004973296216
ONOFF02,-3.75,dog,OFF,3,-0.014677992676220698,13,12,2.874038784739241e-10
ONOFF02,-3.75,dog,OFF,3,-0.01,14,11,0.13658298765820454
ONOFF02,-3.75,dog,OFF,3,-0.1,25,0,2.5014984117164634
ONOFF02,-3.75,dog,OFF,3,-0.06812920690579616,23,2,1.6947343494350846
ONOFF02,-3.75,dog,OFF,3,-0.046415888336127774,22,3,1.4426110264458825
ONOFF02,-3.75,dog,OFF,3,-0.03162277660168379,16,9,0.41489293850243403
ONOFF02,-3.75,dog,OFF,3,-0.021544346900318832,11,14,-0.27439004973296216
ONOFF02,-3.75,dog,OFF,3,-0.014677992676220698,10,15,-0.4148929385136534
ONOFF02,-3.75,dog,OFF,3,-0.01,8,17,-0.7105095978551897
ONOFF02,-3.75,dog,ON,2,0.01,14,11,0.13658298765820454
ONOFF02,-3.75,dog,ON,2,0.014677992676220698,14,11,0.13658298765820454
ONOFF02,-3.75,dog,ON,2,0.021544346900318832,16,9,0.41489293850243403
ONOFF02,-3.75,dog,ON,2,0.03162277660168379,20,5,1.041278337952849
ONOFF02,-3.75,dog,ON,2,0.046415888336127774,19,6,0.86994071643449
ONOFF02,-3.75,dog,ON,2,0.06812920690579616,25,0,2.5014984117164634
ONOFF02,-3.75,dog,ON,2,0.1,23,2,1.6947343494350846
ONOFF02,-3.75,dog,ON,2,0.01,15,10,0.27439004975667836
ONOFF02,-3.75,dog,ON,2,0.014677992676220698,15,10,0.27439004975667836
ONOFF02,-3.75,dog,ON,2,0.021544346900318832,12,13,-0.1365829866590088
ONOFF02,-3.75,dog,ON,2,0.03162277660168379,18,7,0.7105095978385982
ONOFF02,-3.75,dog,ON,2,0.046415888336127774,23,2,1.6947343494350846
ONOFF02,-3.75,dog,ON,2,0.06812920690579616,23,2,1.6947343494350846
ONOFF02,-3.75,dog,ON,2,0.1,24,1,2.0167750097102912
ONOFF02,-3.75,dog,ON,2,0.01,13,12,2.874038784739241e-10
ONOFF02,-3.75,dog,ON,2,0.014677992676220698,9,16,-0.5596404680147978
ONOFF02,-3.75,dog,ON,2,0.021544346900318832,16,9,0.41489293850243403
ONOFF02,-3.75,dog,ON,2,0.03162277660168379,18,7,0.7105095978385982
ONOFF02,-3.75,dog,ON,2,0.046415888336127774,24,1,2.0167750097102912
ONOFF02,-3.75,dog,ON,2,0.06812920690579616,25,0,2.5014984117164634
ONOFF02,-3.75,dog,ON,2,0.1,22,3,1.4426110264458825
ONOFF02,-3.75,dog,ON,2,0.01,11,14,-0.27439004973296216
ONOFF02,-3.75,dog,ON,2,0.014677992676220698,12,13,-0.1365829866590088
ONOFF02,-3.75,dog,ON,2,0.021544346900318832,15,10,0.27439004975667836
ONOFF02,-3.75,dog,ON,2,0.03162277660168379,19,6,0.86994071643449
ONOFF02,-3.75,dog,ON,2,0.046415888336127774,24,1,2.0167750097102912
ONOFF02,-3.75,dog,ON,2,0.06812920690579616,24,1,2.0167750097102912
ONOFF02,-3.75,dog,ON,2,0.1,25,0,2.5014984117164634
ONOFF02,-3.75,dog,ON,4,0.01,15,10,0.27439004975667836
ONOFF02,-3.75,dog,ON,4,0.014677992676220698,18,7,0.7105095978385982
ONOFF02,-3.75,dog,ON,4,0.021544346900318832,14,11,0.13658298765820454
ONOFF02,-3.75,dog,ON,4,0.03162277660168379,15,10,0.27439004975667836
ONOFF02,-3.75,dog,ON,4,0.046415888336127774,23,2,1.6947343494350846
ONOFF02,-3.75,dog,ON,4,0.06812920690579616,25,0,2.5014984117164634
ONOFF02,-3.75,dog,ON,4,0.1,25,0,2.5014984117164634
ONOFF02,-3.75,dog,ON,4,0.01,13,12,2.874038784739241e-10
ONOFF02,-3.75,dog,ON,4,0.014677992676220698,7,18,-0.8699407162912586
ONOFF02,-3.75,dog,ON,4,0.021544346900318832,14,11,0.13658298765820454
ONOFF02,-3.75,dog,ON,4,0.03162277660168379,14,11,0.13658298765820454
ONOFF02,-3.75,dog,ON,4,0.046415888336127774,18,7,0.7105095978385982
ONOFF02,-3.75,dog,ON,4,0.06812920690579616,24,1,2.0167750097102912
ONOFF02,-3.75,dog,ON,4,0.1,23,2,1.6947343494350846
ONOFF02,-3.75,dog,ON,4,0.01,9,16,-0.5596404680147978
ONOFF02,-3.75,dog,ON,4,0.014677992676220698,18,7,0.7105095978385982
ONOFF02,-3.75,dog,ON,4,0.021544346900318832,14,11,0.13658298765820454
ONOFF02,-3.75,dog,ON,4,0.03162277660168379,17,8,0.5596402658619224
ONOFF02,-3.75,dog,ON,4,0.046415888336127774,21,4,1.2295505815588192
ONOFF02,-3.75,dog,ON,4,0.06812920690579616,25,0,2.5014984117164634
ONOFF02,-3.75,dog,ON,4,0.1,24,1,2.0167750097102912
ONOFF02,-3.75,dog,ON,4,0.01,17,8,0.5596402658619224
ONOFF02,-3.75,dog,ON,4,0.014677992676220698,8,17,-0.7105095978551897
ONOFF02,-3.75,dog,ON,4,0.021544346900318832,15,10,0.27439004975667836
ONOFF02,-3.75,dog,ON,4,0.03162277660168379,17,8,0.5596402658619224
ONOFF02,-3.75,dog,ON,4,0.046415888336127774,17,8,0.5596402658619224
ONOFF02,-3.75,dog,ON,4,0.06812920690579616,23,2,1.6947343494350846
ONOFF02,-3.75,dog,ON,4,0.1,25,0,2.5014984117164634
